Buffer, Bandwidth, PreviousQuality, PreviousBandwidth, Quality
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,2500,1,0,1
2000,2500,1,2500,1
4000,6747,1,2500,1
6000,6747,1,6747,1
7581,9709,1,6747,1
9199,9709,1,9709,1
10816,5307,1,9709,1
12365,5260,1,5307,1
13913,3006,1,5260,2
14615,2852,2,3006,2
15264,2494,2,2852,2
15761,1544,2,2494,2
15518,3177,2,1544,2
16274,2779,2,3177,2
16895,2984,2,2779,2
17590,1305,2,2984,2
16992,3612,2,1305,2
17861,2172,2,3612,3
13861,5002,3,2172,3
13722,1820,3,5002,3
9722,956,3,1820,2
8286,1424,2,956,2
7880,2851,2,1424,2
8528,1186,2,2851,2
7699,597,2,1186,2
3699,905,2,597,1
4516,555,1,905,1
4776,2144,1,555,2
5077,1382,2,2144,2
4606,3280,2,1382,2
5392,3302,2,3280,2
6184,618,2,3302,2
2184,2521,2,618,1
3766,1474,1,2521,1
5124,2044,1,1474,2
5557,1164,2,2044,2
4881,1435,2,1164,2
4692,1512,2,1435,2
4608,1201,2,1512,2
4011,973,2,1201,1
5089,2904,1,973,2
5956,1015,2,2904,2
4901,1559,2,1015,2
4878,1326,2,1559,2
4516,471,2,1326,2
516,728,2,471,1
2000,521,1,728,1
2365,640,1,521,1
3016,111,1,640,1
0,592,1,111,1
2000,2005,1,592,1
3501,1456,1,2005,1
4852,4386,1,1456,2
6068,4414,2,4386,2
7288,5517,2,4414,2
8644,2200,2,5517,2
9181,10490,2,2200,2
10795,10208,2,10490,3
11793,5040,3,10208,3
11868,8495,3,5040,3
12685,9137,3,8495,3
13578,15261,3,9137,3
14876,9585,3,15261,3
15816,9299,3,9585,3
16726,7617,3,9299,3
17419,8717,3,7617,4
17346,9041,4,8717,4
17343,11129,4,9041,4
17698,14568,4,11129,4
18417,14468,4,14568,4
19128,9430,4,14468,4
19204,8764,4,9430,4
19142,8367,4,8764,5
17696,9316,5,8367,5
16590,7869,5,9316,5
14932,10351,5,7869,5
14127,9363,5,10351,5
13037,8967,5,9363,5
11815,9856,5,8967,5
10874,9504,5,9856,5
9828,10726,5,9504,4
10125,9371,4,10726,4
10189,15848,4,9371,5
10323,12107,5,15848,5
9910,11110,5,12107,5
9290,11885,5,11110,4
9743,12051,4,11885,5
9319,9434,5,12051,5
8251,10244,5,9434,4
8472,9736,4,10244,4
8606,10856,4,9736,4
8922,12142,4,10856,5
8516,14274,5,12142,5
8454,12267,5,14274,5
8072,9222,5,12267,4
8107,11909,4,9222,4
8563,12393,4,11909,5
8203,12946,5,12393,5
7941,15346,5,12946,5
8016,12954,5,15346,5
7755,14356,5,12954,5
7704,6326,5,14356,5
3704,6384,5,6326,2
5134,5324,2,6384,3
5307,6849,3,5324,3
5863,11546,3,6849,4
6274,10271,4,11546,4
6499,9916,4,10271,4
6665,10432,4,9916,4
6916,7342,4,10432,4
6473,8483,4,7342,4
6346,9978,4,8483,4
6522,7723,4,9978,4
6195,9234,4,7723,4
6233,9978,4,9234,4
6409,8815,4,9978,4
6358,11257,4,8815,4
6730,12580,4,11257,4
7263,15837,4,12580,5
7395,10651,5,15837,5
6667,10163,5,10651,4
6874,8911,4,10163,4
6844,8851,4,8911,4
6801,8960,4,8851,4
6781,5197,4,8960,4
5372,6948,4,5197,4
4796,7969,4,6948,3
5542,9547,3,7969,4
5641,11077,4,9547,4
5988,13541,4,11077,4
6618,11289,4,13541,4
6994,7838,4,11289,5
5322,3385,5,7838,4
1322,2335,4,3385,1
2879,1103,1,2335,2
2061,1553,2,1103,1
3446,4909,1,1553,2
4735,2487,2,4909,3
2937,6300,3,2487,2
4361,8823,2,6300,3
5219,12885,3,8823,4
5784,10710,4,12885,4
6078,11620,4,10710,4
6498,6251,4,11620,4
5646,11225,4,6251,4
6014,17564,4,11225,4
6935,20846,4,17564,5
7492,22761,5,20846,5
8162,7796,5,22761,5
6470,18524,5,7796,4
7442,16113,4,18524,5
7604,4036,5,16113,5
3604,6600,5,4036,3
4110,10221,3,6600,3
5110,16050,3,10221,4
5938,15548,4,16050,4
6732,18867,4,15548,5
7148,13850,5,18867,5
7027,11006,5,13850,5
6383,1564,5,11006,4
2383,1672,4,1564,1
3804,8384,1,1672,2
5346,6690,2,8384,3
5871,2535,3,6690,4
1871,3497,4,2535,1
3543,9847,1,3497,2
5138,17701,2,9847,3
6518,7638,3,17701,4
6166,19994,4,7638,4
7206,35242,4,19994,5
8312,22062,5,35242,5
8943,24465,5,22062,5
9698,20181,5,24465,5
10211,16954,5,20181,5
10459,7878,5,16954,5
8805,6131,5,7878,5
4805,10090,5,6131,4
5001,3223,4,10090,4
1001,3399,4,3223,1
2666,9075,1,3399,2
4235,15360,2,9075,3
5536,22226,3,15360,4
6662,22594,4,22226,5
7323,24386,5,22594,5
8075,8104,5,24386,5
6520,9412,5,8104,5
5445,7817,5,9412,4
5145,7817,4,7817,4
4845,7817,4,7817,4
4545,7240,4,7817,3
5174,7817,3,7240,4
4874,7817,4,7817,4
4574,7817,4,7817,4
4274,7240,4,7817,3
4903,7817,3,7240,4
4603,7817,4,7817,4
4303,7240,4,7817,3
4932,7817,3,7240,4
4632,7817,4,7817,4
4332,7240,4,7817,3
4961,7817,3,7240,4
4661,7817,4,7817,4
4361,7240,4,7817,3
4990,9409,3,7240,4
5062,7817,4,9409,4
4762,7817,4,7817,4
4462,7240,4,7817,3
5091,9409,3,7240,4
5163,7817,4,9409,4
4863,7817,4,7817,4
4563,7817,4,7817,4
4262,9401,4,7817,3
5184,9409,3,9401,4
5256,7817,4,9409,4
4956,7817,4,7817,4
4656,7817,4,7817,4
4355,7240,4,7817,3
4985,7817,3,7240,4
4685,7817,4,7817,4
4384,7240,4,7817,3
5014,7817,3,7240,4
4714,7817,4,7817,4
4413,7240,4,7817,3
5043,7817,3,7240,4
4743,7817,4,7817,4
4442,7240,4,7817,3
0,2455,1,0,1
2000,1498,1,2455,1
4000,1991,1,1498,1
6000,1991,1,1991,1
7498,4374,1,1991,1
9215,2045,1,4374,1
10724,4374,1,2045,1
12441,2033,1,4374,1
13948,3279,1,2033,2
14933,3990,2,3279,2
